,player_name,offense_est,defense_est,total_est,rank
269,Al Horford,0.217483954174814,1.4299103191600189,1.6473942733348328,63
157,Rudy Gobert,0.21606111658053404,1.4253210420167357,1.6413821585972697,64
26,Tyler Herro,2.375838051553529,-0.7517731855659463,1.6240648659875827,65
19,Austin Reaves,1.9607094959452327,-0.3419440116294774,1.6187654843157553,66
82,Brandin Podziemski,0.84224015013336,0.75595925203603,1.59819940216939,67
8,Trae Young,2.5968788039611086,-1.0155498865163122,1.5813289174447964,68
153,Day'Ron Sharpe,-0.34100848307777154,1.902076659379288,1.5610681763015164,69
178,Ausar Thompson,-0.14609849879947853,1.706340316356166,1.5602418175566874,70
25,Kevin Durant,2.0371474844594393,-0.482024903689277,1.5551225807701623,71
185,Naz Reid,0.6593446246420994,0.8887723452579291,1.5481169699000286,72
98,Myles Turner,0.19737761070373525,1.2960467726369715,1.4934243833407068,73
216,Goga Bitadze,-0.5364140637738603,2.02412560627351,1.4877115424996497,74
299,Jay Huff,0.7394260448763866,0.7448388007511005,1.4842648456274872,75
145,Mike Conley,0.8081771089612252,0.6685878267206343,1.4767649356818595,76
209,Jordan McLaughlin,0.6758720025436087,0.7728844318433705,1.4487564343869792,77
100,Jalen Duren,0.44302822097300254,1.0010030753731198,1.4440312963461224,78
237,Moritz Wagner,1.396525367497772,0.027696433955189365,1.4242218014529613,79
284,Draymond Green,-0.34624520512136414,1.7674150833313418,1.4211698782099775,80
193,Cason Wallace,-0.2251828722428392,1.6428920338480995,1.4177091616052602,81
196,Cameron Payne,0.8770632817534735,0.5035943256919073,1.380657607445381,82
106,Christian Braun,0.921340293787383,0.4514862171137727,1.3728265109011557,83
127,Josh Giddey,0.9238069018657825,0.43645139515264897,1.3602582970184316,84
183,Dyson Daniels,-0.17317320641636175,1.5197421738086931,1.3465689673923313,85
135,Zach Edey,-0.6698828250508391,1.9944123233991415,1.3245294983483025,86
47,Joel Embiid,1.893442328786404,-0.5751545877894323,1.3182877409969715,87
138,Bobby Portis,0.5056851809570674,0.7957453687089078,1.3014305496659753,88
130,Onyeka Okongwu,0.3914042678031615,0.8914672794812342,1.2828715472843957,89
110,Donte DiVincenzo,0.8613568996657904,0.4022204315446207,1.2635773312104113,90
97,Jrue Holiday,0.4821162614826341,0.7779188740235612,1.2600351355061954,91
327,Brandon Williams,1.403486091753522,-0.15006666427428553,1.2534194274792363,92
89,Luguentz Dort,0.04863228405375872,1.1945920556013574,1.2432243396551161,93
158,Josh Okogie,-0.09152073088329632,1.3277869232416861,1.2362661923583897,94
236,Jonathan Isaac,-1.2413001761529514,2.4661056044471157,1.2248054282941643,95
154,Bam Adebayo,0.6381244253165744,0.5693535985229672,1.2074780238395415,96
353,Nikola Vucevic,1.083921709956828,0.11762008891965312,1.201541798876481,97
85,OG Anunoby,0.5904966577466807,0.6076474168369296,1.1981440745836103,98
40,Chris Boucher,0.9339127977049834,0.2620822479441213,1.1959950456491046,99
65,Aaron Nesmith,0.8183915058876113,0.3741416908425049,1.1925331967301163,100
68,Khris Middleton,1.1528709888020745,0.0331903016733561,1.1860612904754306,101
121,Kevon Looney,-1.0813398827591416,2.2519500145773153,1.1706101318181736,102
88,Josh Hart,0.4393005340930213,0.7273545607590084,1.1666550948520298,103
54,Fred VanVleet,0.5187553464893777,0.6385398829059984,1.157295229395376,104
148,Sam Merrill,0.46634942914744304,0.683572221041121,1.149921650188564,105
314,John Konchar,-0.6812111189840429,1.8272761012301821,1.1460649822461393,106
275,Scotty Pippen Jr.,0.4632930762781571,0.6553382832649585,1.1186313595431154,107
92,Jalen Smith,0.4214700757165257,0.6970836370170485,1.1185537127335743,108
191,Dean Wade,-0.26426176363461584,1.3530197647120936,1.0887580010774778,109
167,Neemias Queta,-0.26723617813197065,1.3402714853009285,1.0730353071689578,110
142,T.J. McConnell,0.8294972477257256,0.23496150236318822,1.0644587500889138,111
219,Jevon Carter,0.7163522762343856,0.32444955675948917,1.0408018329938749,112
203,Sandro Mamukelashvili,0.9467648203595026,0.08314050845192394,1.0299053288114266,113
22,Tyrese Maxey,1.7635345252388708,-0.7657667893612293,0.9977677358776414,114
150,Paolo Banchero,1.5939677967028583,-0.5965419676127959,0.9974258290900624,115
204,Scottie Barnes,0.6195598632680679,0.36575495729382557,0.9853148205618935,116
174,Alec Burks,0.7121128691085138,0.22769548351905314,0.9398083526275669,117
34,Michael Porter Jr.,0.996014727951492,-0.05793138979498738,0.9380833381565047,118
214,Kris Dunn,-0.7039539661338364,1.6081954391182678,0.9042414729844314,119
61,Julius Randle,1.2130992155073446,-0.3196250930790132,0.8934741224283314,120
86,John Collins,0.6598928789861078,0.23025017313165272,0.8901430521177606,121
