,player_name,offense_est,defense_est,total_est,rank
108,Shakira Austin,-1.4430922222971718,1.4055561326096655,-0.037536089687506324,40
24,Marina Mabrey,-0.17579204742685403,0.11385200529039721,-0.06194004213645682,41
50,Jordan Horston,-1.410073596146382,1.3156663254061833,-0.09440727074019861,42
43,Sika KonÃ©,-0.6142505962645047,0.5046732537476866,-0.10957734251681817,43
32,Olivia Nelson-Ododa,-1.6479891410167753,1.527802483491272,-0.12018665752550328,44
178,Natasha Mack,-1.9909411842408054,1.7615588914769518,-0.22938229276385358,45
36,Dorka JuhÃ¡sz,-1.2040467454323125,0.8887933054001802,-0.3152534400321323,46
16,Alysha Clark,-1.0344191377985532,0.7146033936411081,-0.31981574415744507,47
150,Satou Sabally,0.09505783381960695,-0.43997253751769294,-0.34491470369808597,48
102,Jordin Canada,-0.48041551633223356,0.1292176462246451,-0.35119787010758846,49
52,Natisha Hiedeman,-0.7362280533404213,0.3496938185728009,-0.3865342347676204,50
154,Ariel Atkins,-0.19908420211448863,-0.21110431535552357,-0.41018851747001217,51
89,Brittney Sykes,-0.43175520379973686,0.0022581525666519053,-0.42949705123308496,52
37,Sami Whitcomb,-1.1846722654511288,0.6830705315328829,-0.5016017339182459,53
140,Allisha Gray,-0.3696170832677018,-0.17915393044542735,-0.5487710137131292,54
31,Megan Gustafson,-0.9021942125229657,0.34019768093404357,-0.5619965315889222,55
40,Kennedy Burke,-1.6885711316859775,1.0965525051740406,-0.5920186265119369,56
44,Celeste Taylor,-1.9849934395811928,1.244186053624573,-0.7408073859566198,57
187,Natasha Cloud,-0.6942478669369777,-0.10055590783441534,-0.7948037747713931,58
115,Karlie Samuelson,-0.3316470254142006,-0.4710917244452393,-0.8027387498594398,59
33,Tiffany Mitchell,-1.1395673551026055,0.32069995006714236,-0.8188674050354632,60
28,Kayla Thornton,-1.2687747416486495,0.446863452702166,-0.8219112889464835,61
205,Arike Ogunbowale,-0.051157978149499156,-0.8283799942486219,-0.879537972398121,62
155,Diana Taurasi,0.09781190374348744,-1.000295618497183,-0.9024837147536955,63
39,Lindsay Allen,-0.7467705678936791,-0.16944135471813435,-0.9162119226118135,64
45,Ivana DojkiÄ,-0.7453589589063013,-0.17396901849993887,-0.9193279774062402,65
67,Damiris Dantas,-0.7937722744957872,-0.12979263777186137,-0.9235649122676486,66
34,Victoria Vivians,-1.6992027871450304,0.739583824980926,-0.9596189621641044,67
180,Kamilla Cardoso,-1.4849155713280757,0.5246262488120504,-0.9602893225160253,68
98,Lexie Brown,-0.8674599381463353,-0.10089613831613711,-0.9683560764624723,69
198,Teaira McCowan,-1.153702425239479,0.16624773567978343,-0.9874546895596955,70
156,Sophie Cunningham,-0.7414279518573388,-0.3006014523938686,-1.0420294042512075,71
174,Kelsey Mitchell,0.3424336982347671,-1.4908236094661707,-1.1483899112314035,72
66,Temi Fagbenle,-1.9207457422073215,0.7344990217288744,-1.1862467204784473,73
168,Shatori Walker-Kimbrough,-1.2585222313686109,0.027546494233612245,-1.2309757371349985,74
152,Cameron Brink,-3.130771290449976,1.8589131079426353,-1.2718581825073405,75
179,Odyssey Sims,-0.31377883623746616,-0.9669301539734071,-1.2807089902108733,76
135,Naz Hillmon,-1.4341166508537389,0.14702217515178295,-1.2870944757019558,77
170,Rae Burrell,-1.2133609605698503,-0.24867515216512673,-1.462036112734977,78
192,Myisha Hines-Allen,-0.9098738750563503,-0.5554406369809911,-1.4653145120373414,79
181,Aaliyah Edwards,-1.9002097520128542,0.41025357148648933,-1.4899561805263648,80
195,Natasha Howard,-1.1329794653900613,-0.3756606461226315,-1.5086401115126928,81
57,Kate Martin,-1.6112905214830497,0.09355872484228084,-1.5177317966407688,82
158,Stephanie Talbot,-2.0103059882339904,0.44196210598964314,-1.5683438822443474,83
82,Lexie Hull,-1.6975213903841442,0.061227347427794815,-1.6362940429563493,84
87,Cecilia Zandalasini,-1.2888492560224676,-0.3506406440712925,-1.6394899000937602,85
164,Stefanie Dolson,-1.1253737072191796,-0.5840839723649845,-1.709457679584164,86
96,Rebecca Allen,-1.8493597682263139,0.13795263524289408,-1.7114071329834197,87
166,Aari McDonald,-0.9394824026738658,-0.9177475604667864,-1.8572299631406524,88
200,NaLyssa Smith,-2.0007444504079017,0.12219899172475698,-1.8785454586831447,89
188,AzurÃ¡ Stevens,-1.9370349321558227,0.03496697029964754,-1.902067961856175,90
196,Kahleah Copper,-0.3911184846215343,-1.5517241751809172,-1.9428426598024515,91
117,Jade Melbourne,-1.6582638352030559,-0.29974925915254713,-1.9580130943556031,92
142,Layshia Clarendon,-1.7284878740233391,-0.2576440809944347,-1.9861319550177738,93
138,Rachel Banham,-1.2383392870813077,-0.7657638513844373,-2.004103138465745,94
182,Cheyenne Parker-Tyus,-1.486097222860378,-0.5267934833131533,-2.0128907061735313,95
175,Kalani Brown,-1.47614853500949,-0.6416534253129696,-2.11780196032246,96
177,Kristy Wallace,-1.7793426197860116,-0.46667032345926096,-2.2460129432452725,97
